Year,State,Vehicle Type,Registrations,EV Share (%),Chargers,FAME II Policy,Monthly Income Bracket (Main Buyer),Age Group,City Type,Psychographic Segment
2024,Maharashtra,3W,14134,1.4,96,1,40000-60000,46-60,Semi-Urban,Luxury-focused
2024,Maharashtra,4W,62839,11.58,668,1,60000-100000,36-45,Urban,Luxury-focused
2024,Karnataka,2W,41480,3.37,798,1,20000-40000,46-60,Urban,Eco-conscious
2024,Karnataka,3W,22492,1.67,1605,1,>100000,60+,Semi-Urban,Eco-conscious
2024,Karnataka,4W,72671,8.67,599,1,<20000,60+,Semi-Urban,Practical
2024,Tamil Nadu,2W,60273,9.06,1581,1,20000-40000,36-45,Semi-Urban,Cost-conscious
2024,Tamil Nadu,3W,62595,7.2,1328,1,20000-40000,46-60,Rural,Practical
2024,Tamil Nadu,4W,11665,9.21,395,1,40000-60000,18-25,Semi-Urban,Practical
2024,Gujarat,2W,23119,8.44,171,1,<20000,46-60,Rural,Cost-conscious
2024,Gujarat,3W,41374,9.11,627,1,40000-60000,60+,Rural,Luxury-focused
2024,Gujarat,4W,75323,5.13,359,1,>100000,26-35,Rural,Tech-savvy
2024,Uttar Pradesh,2W,10126,2.9,353,1,20000-40000,46-60,Semi-Urban,Practical
2024,Uttar Pradesh,3W,23209,4.12,1352,1,>100000,46-60,Semi-Urban,Practical
2024,Uttar Pradesh,4W,81095,10.24,1209,1,60000-100000,18-25,Rural,Luxury-focused
2024,West Bengal,2W,23955,10.48,366,1,40000-60000,26-35,Urban,Practical
2024,West Bengal,3W,29549,9.87,1287,1,20000-40000,26-35,Urban,Eco-conscious
2024,West Bengal,4W,45509,4.63,570,1,20000-40000,18-25,Rural,Practical
2024,Rajasthan,2W,55010,1.88,652,1,<20000,26-35,Urban,Practical
2024,Rajasthan,3W,40881,10.56,621,1,60000-100000,26-35,Semi-Urban,Tech-savvy
2024,Rajasthan,4W,25453,1.91,1344,1,40000-60000,60+,Semi-Urban,Eco-conscious
2024,Punjab,2W,88891,8.76,218,1,40000-60000,36-45,Semi-Urban,Eco-conscious
2024,Punjab,3W,43928,6.3,17,1,<20000,18-25,Rural,Practical
2024,Punjab,4W,56964,8.45,1306,1,<20000,26-35,Semi-Urban,Practical
2024,Telangana,2W,53426,0.56,1927,1,60000-100000,18-25,Semi-Urban,Cost-conscious
2024,Telangana,3W,23778,9.28,1990,1,20000-40000,46-60,Semi-Urban,Luxury-focused
2024,Telangana,4W,63893,10.74,676,1,20000-40000,60+,Semi-Urban,Eco-conscious
2025,Delhi,2W,70544,3.94,273,1,40000-60000,26-35,Urban,Practical
2025,Delhi,3W,16204,4.37,975,1,<20000,46-60,Urban,Tech-savvy
2025,Delhi,4W,28529,1.42,314,1,60000-100000,26-35,Semi-Urban,Luxury-focused
2025,Maharashtra,2W,81364,8.41,1799,1,<20000,18-25,Rural,Cost-conscious
2025,Maharashtra,3W,9227,1.9,980,1,>100000,60+,Semi-Urban,Tech-savvy
2025,Maharashtra,4W,32755,6.12,1128,1,60000-100000,18-25,Semi-Urban,Tech-savvy
2025,Karnataka,2W,81287,2.05,1812,1,60000-100000,36-45,Urban,Cost-conscious
2025,Karnataka,3W,42054,3.76,687,1,>100000,36-45,Rural,Cost-conscious
2025,Karnataka,4W,65328,8.68,1818,1,<20000,26-35,Rural,Eco-conscious
2025,Tamil Nadu,2W,36236,8.3,1876,1,<20000,36-45,Urban,Practical
2025,Tamil Nadu,3W,47068,8.59,859,1,40000-60000,26-35,Urban,Luxury-focused
2025,Tamil Nadu,4W,51886,3.16,514,1,40000-60000,18-25,Urban,Tech-savvy
2025,Gujarat,2W,54515,10.09,1379,1,>100000,26-35,Rural,Eco-conscious
2025,Gujarat,3W,63605,11.3,1921,1,20000-40000,36-45,Semi-Urban,Tech-savvy
2025,Gujarat,4W,25011,2.49,909,1,60000-100000,46-60,Semi-Urban,Eco-conscious
2025,Uttar Pradesh,2W,58603,9.99,453,1,40000-60000,18-25,Urban,Tech-savvy
2025,Uttar Pradesh,3W,1487,6.83,1030,1,40000-60000,60+,Semi-Urban,Cost-conscious
2025,Uttar Pradesh,4W,77241,5.31,1393,1,>100000,36-45,Semi-Urban,Practical
2025,West Bengal,2W,79291,8.75,1198,1,>100000,60+,Urban,Luxury-focused
2025,West Bengal,3W,12787,2.75,1510,1,20000-40000,18-25,Rural,Tech-savvy
2025,West Bengal,4W,18934,4.98,1766,1,60000-100000,26-35,Rural,Practical
2025,Rajasthan,2W,21389,2.99,1361,1,<20000,36-45,Urban,Eco-conscious
2025,Rajasthan,3W,38328,4.53,1643,1,>100000,60+,Rural,Tech-savvy
2025,Rajasthan,4W,36878,10.64,1000,1,20000-40000,46-60,Urban,Eco-conscious
2025,Punjab,2W,36235,4.75,1810,1,60000-100000,18-25,Semi-Urban,Luxury-focused
2025,Punjab,3W,82683,8.65,1301,1,40000-60000,26-35,Semi-Urban,Tech-savvy
2025,Punjab,4W,71124,3.51,1422,1,<20000,36-45,Rural,Tech-savvy
2025,Telangana,2W,83019,1.7,771,1,60000-100000,18-25,Urban,Practical
2025,Telangana,3W,28437,11.34,1203,1,<20000,18-25,Rural,Tech-savvy
2025,Telangana,4W,34031,8.88,139,1,<20000,18-25,Urban,Eco-conscious
